,year,type,stage
539,1937,p1,27
540,1937,p1,28
541,1937,p1,29
542,1937,p1,30
543,1937,p1,31
544,1938,p1,1
545,1938,p1,2
546,1938,p1,3
547,1938,p1,4
548,1938,p1,5
549,1938,p1,6
550,1938,p1,7
551,1938,p1,8
552,1938,p1,9
553,1938,p1,10
554,1938,p4,11
555,1938,p4,12
556,1938,p1,13
557,1938,p1,14
558,1938,p1,15
559,1938,p1,16
560,1938,p1,17
561,1938,p4,18
562,1938,p4,19
563,1938,p4,20
564,1938,p4,21
565,1938,p1,22
566,1938,p1,23
567,1938,p1,24
568,1938,p1,25
569,1938,p1,26
570,1938,p1,27
571,1938,p1,28
572,1938,p1,29
573,1939,p1,1
574,1939,p1,2
575,1939,p1,3
576,1939,p1,4
577,1939,p1,5
578,1939,p1,6
579,1939,p1,7
580,1939,p1,8
581,1939,p1,9
582,1939,p1,10
583,1939,p1,11
584,1939,p4,12
585,1939,p1,13
586,1939,p1,14
587,1939,p1,15
588,1939,p1,16
589,1939,p1,17
590,1939,p1,18
591,1939,p4,19
592,1939,p1,20
593,1939,p4,21
594,1939,p1,22
595,1939,p4,23
596,1939,p4,24
597,1939,p4,25
598,1939,p1,26
599,1939,p1,27
600,1939,p1,28
601,1947,p0,1
602,1947,p0,2
603,1947,p0,3
604,1947,p0,4
605,1947,p0,5
606,1947,p0,6
607,1947,p0,7
608,1947,p0,8
609,1947,p0,9
610,1947,p0,10
611,1947,p0,11
612,1947,p0,12
613,1947,p0,13
614,1947,p0,14
615,1947,p0,15
616,1947,p0,16
617,1947,p0,17
618,1947,p0,18
619,1947,p0,19
620,1947,p0,20
621,1947,p0,21
622,1948,p0,1
623,1948,p0,2
624,1948,p0,3
625,1948,p0,4
626,1948,p0,5
627,1948,p0,6
628,1948,p0,7
629,1948,p0,8
630,1948,p0,9
631,1948,p0,10
632,1948,p0,11
633,1948,p0,12
634,1948,p0,13
635,1948,p0,14
636,1948,p0,15
637,1948,p0,16
638,1948,p0,17
639,1948,p0,18
640,1948,p0,19
641,1948,p0,20
642,1948,p0,21
643,1949,p0,1
644,1949,p0,2
645,1949,p0,3
646,1949,p0,4
647,1949,p0,5
648,1949,p0,6
649,1949,p0,7
650,1949,p0,8
651,1949,p0,9
652,1949,p0,10
653,1949,p0,11
654,1949,p0,12
655,1949,p0,13
656,1949,p0,14
657,1949,p0,15
658,1949,p0,16
659,1949,p0,17
660,1949,p0,18
661,1949,p0,19
662,1949,p0,20
663,1949,p0,21
664,1950,p0,1
665,1950,p0,2
666,1950,p0,3
667,1950,p0,4
668,1950,p0,5
669,1950,p0,6
670,1950,p0,7
671,1950,p0,8
672,1950,p0,9
673,1950,p0,10
674,1950,p0,11
675,1950,p0,12
676,1950,p0,13
677,1950,p0,14
678,1950,p0,15
679,1950,p0,16
680,1950,p0,17
681,1950,p0,18
682,1950,p0,19
683,1950,p0,20
684,1950,p0,21
685,1950,p0,22
686,1951,p0,1
687,1951,p0,2
688,1951,p0,3
689,1951,p0,4
690,1951,p0,5
691,1951,p0,6
692,1951,p0,7
693,1951,p0,8
694,1951,p0,9
695,1951,p0,10
696,1951,p0,11
697,1951,p0,12
698,1951,p0,13
699,1951,p0,14
700,1951,p0,15
701,1951,p0,16
702,1951,p0,17
703,1951,p0,18
704,1951,p0,19
705,1951,p0,20
706,1951,p0,21
707,1951,p0,22
708,1951,p0,23
709,1951,p0,24
710,1952,p0,1
711,1952,p0,2
712,1952,p0,3
713,1952,p0,4
714,1952,p0,5
715,1952,p0,6
716,1952,p0,7
717,1952,p0,8
718,1952,p0,9
719,1952,p0,10
720,1952,p0,11
721,1952,p0,12
722,1952,p0,13
723,1952,p0,14
724,1952,p0,15
725,1952,p0,16
726,1952,p0,17
727,1952,p0,18
728,1952,p0,19
729,1952,p0,20
730,1952,p0,21
731,1952,p0,22
732,1952,p0,23
733,1953,p0,1
734,1953,p0,2
735,1953,p0,3
736,1953,p0,4
737,1953,p0,5
738,1953,p0,6
739,1953,p0,7
740,1953,p0,8
741,1953,p0,9
742,1953,p0,10
743,1953,p0,11
744,1953,p0,12
745,1953,p0,13
746,1953,p0,14
747,1953,p0,15
748,1953,p0,16
749,1953,p0,17
750,1953,p0,18
751,1953,p0,19
752,1953,p0,20
753,1953,p0,21
754,1953,p0,22
755,1954,p0,1
756,1954,p0,2
757,1954,p0,3
758,1954,p0,4
759,1954,p0,5
760,1954,p0,6
761,1954,p0,7
762,1954,p0,8
763,1954,p0,9
764,1954,p0,10
765,1954,p0,11
766,1954,p0,12
767,1954,p0,13
768,1954,p0,14
769,1954,p0,15
770,1954,p0,16
771,1954,p0,17
772,1954,p0,18
773,1954,p0,19
774,1954,p0,20
775,1954,p0,21
776,1954,p0,22
777,1954,p0,23
778,1954,p0,24
779,1954,p0,25
780,1955,p0,1
781,1955,p0,2
782,1955,p0,3
783,1955,p0,4
784,1955,p0,5
785,1955,p0,6
786,1955,p0,7
787,1955,p0,8
788,1955,p0,9
789,1955,p0,10
790,1955,p0,11
791,1955,p0,12
792,1955,p0,13
793,1955,p0,14
794,1955,p0,15
795,1955,p0,16
796,1955,p0,17
797,1955,p0,18
798,1955,p0,19
799,1955,p0,20
800,1955,p0,21
801,1955,p0,22
802,1955,p0,23
803,1956,p0,1
804,1956,p0,2
805,1956,p0,3
806,1956,p0,4
807,1956,p0,5
808,1956,p0,6
809,1956,p0,7
810,1956,p0,8
811,1956,p0,9
812,1956,p0,10
813,1956,p0,11
814,1956,p0,12
815,1956,p0,13
816,1956,p0,14
817,1956,p0,15
818,1956,p0,16
819,1956,p0,17
820,1956,p0,18
821,1956,p0,19
822,1956,p0,20
823,1956,p0,21
824,1956,p0,22
825,1956,p0,23
826,1957,p0,1
827,1957,p0,2
828,1957,p0,3
829,1957,p0,4
830,1957,p0,5
831,1957,p0,6
832,1957,p0,7
833,1957,p0,8
834,1957,p0,9
835,1957,p0,10
836,1957,p0,11
837,1957,p0,12
838,1957,p0,13
839,1957,p0,14
840,1957,p0,15
841,1957,p0,16
842,1957,p0,17
843,1957,p0,18
844,1957,p0,19
845,1957,p0,20
846,1957,p0,21
847,1957,p0,22
848,1957,p0,23
849,1957,p0,24
850,1958,p0,1
851,1958,p0,2
852,1958,p0,3
853,1958,p0,4
854,1958,p0,5
855,1958,p0,6
856,1958,p0,7
857,1958,p0,8
858,1958,p0,9
859,1958,p0,10
860,1958,p0,11
861,1958,p0,12
862,1958,p0,13
863,1958,p0,14
864,1958,p0,15
865,1958,p0,16
866,1958,p0,17
867,1958,p5,18
868,1958,p0,19
869,1958,p0,20
870,1958,p0,21
871,1958,p0,22
872,1958,p0,23
873,1958,p0,24
874,1959,p0,1
